name,price
"Tecno Camon 40 Pro 4G, 6.78 Inches 8GB RAM+256GB, 5200 Mah - Galaxy Black (2YRs WRTY)","KSh 33,999"
"Oale 17 Pro Max 4G - 6.85"" 128GB ROM 8GB RAM 20MP 5750mAh 4G-Network DUAL SIM (With Earphones, Glass Protector, Cover) - Blue","KSh 9,900"
Honor Play 10 6.74” 3GB ROM + 64GB RAM 5000 mAh Midnight Black - Dual Card Sim (1YR WRTY),"KSh 11,500"
"Itel City 100, 6.75"", 6GB RAM + 128GB, 5200mAh (Dual Sim) -","KSh 10,100"
"Oale Camon 40 4G - 6.6"" 128GB ROM 8GB RAM 20MP 5750mAh MediaTek Processor Dual-SIM (With Earphones, Glass Protector, Cover) - Black","KSh 9,500"
"VILLAON V50s 4G, 6.52"", 4GB RAM + 64GB, 4000mAh, Black","KSh 7,910"
"Tecno Spark 40, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5200mAh - Black +Earpods + LED watch + Power bank","KSh 16,199"
"Infinix Hot 60i 4G, 6.7"", 8GB RAM, 256GB, 5160mAh, Silver (1YR WRTY)","KSh 16,570"
"AGM NOTE N1, 6.52'' Display, 16(8+8)GB RAM + 128GB ROM (Dual Sim) 50MP, 4900mAh - Black","KSh 10,108"
SIMI S240 Feature Phone 2.4inch Dual SIM Card 2500mAh,"KSh 1,250"
"AGM AGM NOTE N1, Android 13, 128GB + 16GB RAM(8GB Extended), 50MP AI Camera, 4900mAh - Blue","KSh 10,108"
"redbeat E3 Smartphone 6.6inchs Dual SIM,12GB/256GB,Android14,Side Fingerprint,BLUE","KSh 11,725"
SIMI B201 2.4inch Feature Phone Solar Charging 4000mAh,"KSh 2,350"
"Koruima K1707 Feature Phones 1.77"" 1000mAh Strong Flashlight Dual Sim Wireless FM Radio Button Phones Black","KSh 1,059"
"Koruima K2801 Feature Phones 2.8"" 2500mAh 5V 1A Charger Dual Sim Wireless FM Radio T528 Button Phones Black","KSh 1,769"
"Samsung Galaxy A21 Android Smartphone – 64GB, 3GB RAM, Quad Camera 16MP– 13MP Selfie – Black, Single SIM Best Affordable Camera Phone, Refurbished by Badili.","KSh 12,999"
"Samsung Galaxy A03S, Black, 3GB/32GB, Refurbished + Free 32GB Memory Card, Single Sim.","KSh 8,999"
Ample Original Micro USB Fast Charging Cable 1 M – White.,KSh 450
Samsung Galaxy S22 Ultra 5G – 12GB RAM + 256GB ROM – Refurbished by Badili – Single SIM – Android Smartphone – Burgundy– Global Version.,"KSh 67,599"
"Ample Original Ultra Secure Pro 4K MicroSD Memory Card 64GB – UHS-I U1 Class 10 – High-Speed Memory Card for 4K Video, Dash Cam, Android Phone, Tablet, Camera, Laptop, GoPro, Nintendo Switch.","KSh 1,499"
"Samsung Galaxy A54 5G – 50MP Triple Camera, 32MP Selfie, 6.4"" Super AMOLED 120Hz, Android 13,6GB+128GB – Refurbished unlocked Smartphone- Black","KSh 29,999"
"Badili Samsung Galaxy A20 Smartphone – Refurbished Android Phone, 32GB ROM + 3GB RAM, Single SIM, Black + Free 32GB Memory Card.","KSh 9,577"
Galaxy A52 5G - 6GB RAM + 128GB ROM - Single SIM - Refurbished- Android Smartphone - Purple,"KSh 29,999"
"Refurbished Samsung Galaxy A21, 64GB + 3GB RAM, Quad Camera 16MP – 13MP Selfie (Single SIM) – Red (1YR WRTY)","KSh 12,999"
"Ample Original Ultra Secure Pro 4K MicroSD Memory Card 32GB – UHS-I U1 Class 10 – High-Speed Memory Card for 4K Video, Dash Cam, Android Phone, Tablet, Camera, Laptop, GoPro, Nintendo Switch.",KSh 899
Amazfit Up Open-Ear Earbuds - Black,"KSh 4,699"
Mycandy Pb-c150 Powerbank 10kmah 22.5w Type-c Pd Black,"KSh 1,599"
Mycandy Tc-d30 Travel Charger 30w Type-c & Usb Black,"KSh 1,742"
RichRipple M10 LED Display Bluetooth Headsets 9D Stereo Wireless Earphones - Black,KSh 375
GUEETON Stereo F9 Bluetooth Earphone Power Headset,KSh 386
RichRipple Sports Bluetooth Into The Ear Neck Hanging Type Running Stereo Large Capacity Wireless Earphone,KSh 275
GUEETON GUEETON Wireless Earphones Bluetooth 5.3 Finger Touch Headset HIFI Slide Cover,KSh 386
RichRipple A6S Bluetooth Headsets 9D Stereo Wireless Earphones Earpods,KSh 460
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 399
Samsung 25watts USB C TYPE C Adapter Charger,KSh 295
G03 Neckband Wireless Bluetooth In-Ear Sports Earphone Headset,KSh 275
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 399
Earpods Pro3 Bluetooth Headsets Wireless Earphones,KSh 350
RichRipple Grey Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 395
"RichRipple Desktop Smartphone Holder, Foldable Phone Stand - Black",KSh 233
"Redmi 15C By Xiaomi, 6.9"", 4GB RAM + 128GB (Dual SIM), 6000mAh, Black (25 Months Warranty)","KSh 13,180"
"Safaricom Neon Smarta 2, IPS LCD DISPLAY, 5"" Inches, 32GB ROM + 2GB RAM (Dual SIM), 3300mAh - BLACK + LED Watch","KSh 2,790"
"Samsung Galaxy A16, 6.7"", 4GB RAM + 128GB (Dual SIM), 5000mAh + Free Gifts - Grey","KSh 17,550"
"Infinix Hot 60i 4G, 6.7"", 6GB RAM + 128GB, 5160mAh (Dual SIM), Sleek Black (1YR WRTY)","KSh 13,699"
"Redmi 15C By Xiaomi Smartphone, 6.88"", 8GB RAM (4+4GB) +128GB, 5000mAh + I12 WATCH (1 TR WRTY), BLACK","KSh 14,350"
"Infinix Smart 10, 6.67"", 4GB RAM + 64GB (Dual SIM), 5000 mAh, 4G - Black (1YR WRTY)","KSh 9,730"
"Redmi 15C By Xiaomi, 4G, 6.9"", 6GB RAM + 128GB, 6000mAh, Black (25 Months Warranty)","KSh 14,450"
SIMI Dream2 6.6 INCELL HD+ SC9863A1 8(4+4)GB+128G Smartphone dual SIM Card 5000mAh,"KSh 9,956"
"XIAOMI Redmi 15 4G, 6.9"", 8GB RAM + 256GB, 7000mAh, Black (25 Months Warranty)","KSh 20,790"
"Redmi 15C By Xiaomi, 6.9"", 8GB RAM + 256GB, 6000mAh (Dual SIM) - Black (1 YR WRTY)+ LED Watch+ EarPods+ Cable+ Card Reader+ Power bank","KSh 18,199"
"Infinix Hot 60i'6.7 Inches,8GB RAM+256GB ROM"" 50 MP' Dual SIM'5160 MAh Battery., SMART WATCH, NECK BUDS, SILVER","KSh 16,999"
"Safaricom Neon Smarta 2, IPS LCD Display, 5"", 32GB ROM + 2GB RAM (Dual SIM), 3300mAh - Black + LED Watcg","KSh 2,799"
"Redmi 15C By Xiaomi Smartphone, 6.9"", 8GB RAM+ 256GB (Dual SIM), 6000mAh, 1 YEAR WARRANTY - Black","KSh 16,999"
"Redmi 15C By Xiaomi, 6.9"", 4GB RAM (UPTO 8GB Extended) + 128GB (Dual SIM), 6000mAh - Blue (1 YR WRTY)","KSh 13,999"
"Samsung GALAXY A17, 6.7'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh WATCH ADAPTER, BLACK","KSh 19,599"
"Samsung Galaxy A16, 6.7"", 4GB RAM + 128GB (Dual SIM), 5000mAh, Black (2YRs WRTY)","KSh 17,420"
"Redmi 15C By Xiaomi, 6.9"", 4GB RAM +128GB, 6000mAh WITH FREE GIFTS ( AIRPODS + LED WATCH +POWERBANK ) - Black","KSh 14,450"
"Redmi Note 15 By Xiaomi, 6.77"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)","KSh 28,060"
